"infinitive","english","present","simple_past","present_perfect","example","category"
"aannemen","to assume","neem aan","nam aan","heb aangenomen","Aangenomen wordt dat hij erin reisde.","Buitenland"
"afwerken","to complete / play out","werk af","werkte af","heb afgewerkt","Het WK wordt afgewerkt in 16 steden.","Buitenland"
"baseren","to base (on)","baseer","baseerde","heb gebaseerd","De berekening is gebaseerd op schattingen.","Buitenland"
"gebruikmaken","to make use of","maak gebruik","maakte gebruik","heb gebruikgemaakt","Soms wordt gebruikgemaakt van lijnvluchten.","Buitenland"
"halveren","to halve","halveer","halveerde","heb gehalveerd","De uitstoot tegen 2030 halveren.","Buitenland"
"linken","to link","link","linkte","heb gelinkt","Het toestel wordt aan de bond gelinkt.","Buitenland"
"noemen","to call / name","noem","noemde","heb genoemd","Organisaties noemen het moeilijk.","Buitenland"
"rijmen","to reconcile / rhyme","rijm","rijmde","heb gerijmd","Moeilijk te rijmen met de ambities.","Buitenland"
"uitstoten","to emit","stoot uit","stootte uit","heb uitgestoten","Het toestel heeft veel CO2 uitgestoten.","Buitenland"
"besturen","to control / steer","bestuur","bestuurde","heb bestuurd","De drone wordt op afstand bestuurd.","Politiek"
"hameren","to hammer / insist","hamer","hamerde","heb gehamerd","Hij hamert op het belang ervan.","Politiek"
"handelen","to act","handel","handelde","heb gehandeld","Snel handelen is nodig.","Politiek"
"investeren","to invest","investeer","investeerde","heb geïnvesteerd","We investeren in onderwijs.","Politiek"
"omringen","to surround","omring","omringde","heb omringd","Omringd door wapens.","Politiek"
"presenteren","to present","presenteer","presenteerde","heb gepresenteerd","Zij presenteerden de plannen.","Politiek"
"symboliseren","to symbolize","symboliseer","symboliseerde","heb gesymboliseerd","Dit symboliseert vrede.","Politiek"
"voeren","to wage / conduct","voer","voerde","heb gevoerd","Oorlog voeren is verschrikkelijk.","Politiek"
"waarnemen","to observe / perceive","neem waar","nam waar","heb waargenomen","We nemen het waar.","Politiek"
"immigreren","to immigrate","immigreer","immigreerde","ben geïmmigreerd","Veel mensen immigreren hierheen.",""
"stokken","to stall, falter","stok","stokte","is gestokt","Het gesprek stokt.",""
"toewijzen","to allocate, assign","wijs toe","wees toe","heb toegewezen","Ze wijzen een plek toe.",""
